zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
1860,other,90,585,25360,263.0,70.0,0.2661596958174905,155,118.75,54.25,26.495726495726498,45.68421052631579,Other
1862,other,402,10074,825143,1508.0,185.0,0.1226790450928382,1235,1758.1,432.25,12.259281318244987,24.58620101245663,Other
1863,other,235,2979,218790,769.0,174.0,0.2262678803641092,674,581.65,235.9,22.625041960389392,40.55703601822402,Other
1864,other,512,6495,618400,2142.0,566.0,0.2642390289449113,1716,1317.45,600.6,26.420323325635103,45.58806785836275,Other
1867,other,546,6451,361707,2273.0,633.0,0.2784865816102068,1796,1326.85,628.6,27.840644861261826,47.37536270113427,Other
1876,other,706,15507,923409,3036.0,610.0,0.2009222661396574,3115,2949.05,1090.25,20.08770232798091,36.96953256133331,Other
1879,other,322,3802,196199,1186.0,229.0,0.1930860033726812,734,717.0999999999999,256.9,19.305628616517623,35.82485009064287,Other
1880,other,922,14775,1101278,4115.0,1339.0,0.3253948967193195,4807,3177.65,1682.45,32.5346869712352,52.94635973124794,Other
1886,other,649,9358,1064522,2804.0,986.0,0.3516405135520685,3290,2061.7,1151.5,35.157084847189566,55.85196682349518,Other
1887,other,882,21776,1971234,3871.0,810.0,0.2092482562645311,4556,4177.6,1594.6,20.92211609110948,38.17024128686327,Other
1890,other,588,6973,487174,2478.0,932.0,0.3761097659402744,2622,1570.35,917.7,37.60217983651226,58.43920145190563,Other
1901,other,304,5707,313118,1180.0,309.0,0.261864406779661,1494,1154.85,522.9,26.178377431224813,45.2786076113781,Other
1902,other,557,3558,175529,2454.0,256.0,0.1043194784026079,371,607.9,129.85,10.427206295671724,21.360421121895047,Other
1904,other,310,2889,111603,1258.0,101.0,0.0802861685214626,231,479.55,80.85,7.995846313603323,16.859555833593994,Other
1905,other,426,4522,228471,1798.0,89.0,0.0494994438264738,223,722.9,78.05,4.931446262715613,10.796790704108451,Other
1906,other,801,8824,359785,3640.0,540.0,0.1483516483516483,1309,1585.4,458.15,14.834542157751589,28.89806988772549,Other
1907,other,335,2633,113820,1340.0,327.0,0.2440298507462686,642,523.3499999999999,224.7,24.382833270034183,42.93493837775868,Other
1908,other,46,202,12129,98.0,21.0,0.2142857142857142,43,38.900000000000006,15.05,21.287128712871286,38.68894601542416,Other
1913,other,450,3762,212901,1760.0,449.0,0.2551136363636364,959,756.0999999999999,335.65,25.49175970228601,44.39227615394789,Other
1915,other,1272,21534,1420429,5739.0,1517.0,0.2643317651158738,5692,4368.5,1992.2,26.432618185195505,45.603754149021405,Other
2121,other,233,1876,86603,903.0,128.0,0.1417497231450719,265,334.4,92.75,14.125799573560768,27.73624401913876,Other
2122,other,547,7398,431302,2302.0,409.0,0.1776715899218071,1314,1372.5,459.9,17.761557177615572,33.50819672131147,Other
2124,other,584,5991,234856,2545.0,412.0,0.1618860510805501,969,1092.4499999999998,339.15,16.174261392088134,31.044899080049436,Other
2125,other,517,10387,752885,2125.0,458.0,0.2155294117647058,2238,2005.65,783.3,21.546163473572737,39.05467055568021,Other
2126,other,242,1899,81688,935.0,133.0,0.1422459893048128,270,338.85,94.5,14.218009478672986,27.88844621513944,Other
2127,other,700,9465,770687,3026.0,1043.0,0.3446794448116325,3262,2072.15,1141.7,34.463814051769674,55.09736264266583,Other
2128,other,853,20398,1217494,3881.0,674.0,0.1736665807781499,3542,3768.1,1239.7,17.364447494852435,32.89986996098829,Other
2129,other,503,12664,999317,1958.0,894.0,0.4565883554647599,5782,3056.0,2023.7,45.65698041692988,66.22054973821989,Other
2130,other,703,13852,965731,3020.0,792.0,0.262251655629139,3632,2804.2,1271.2,26.220040427375107,45.3320019970045,Other
2131,other,455,5372,250446,1908.0,373.0,0.1954926624737945,1050,1015.8,367.5,19.5457930007446,36.17838157117543,Other
